Kode|Emiten|Rasio|Saat Ini|Eval|Keterangan
AALI|Astra Agro Lestari Tbk.|20.30%|390,711,732|390,711,732|Tetap
ACES|Ace Hardware Indonesia Tbk.|39.84%|6,832,560,000|6,832,560,000|Tetap
ADMR|Adaro Minerals Indonesia Tbk.|16.16%|-|6,606,584,770|Baru
ADRO|Adaro Energy Indonesia Tbk.|40.58%|12,979,903,380|12,979,903,380|Tetap
AKRA|AKR Corporindo Tbk.|37.09%|7,445,251,729|7,445,251,729|Tetap
AMRT|Sumber Alfaria Trijaya Tbk.|45.38%|19,030,679,129|18,843,818,871|Berubah
ANTM|Aneka Tambang Tbk.|34.83%|8,369,915,354|8,369,915,354|Tetap
ARTO|Bank Jago Tbk.|27.87%|3,823,119,506|3,823,119,506|Tetap
ASII|Astra International Tbk.|45.08%|18,249,985,756|18,249,985,756|Tetap
ASSA|Adi Sarana Armada Tbk.|44.63%|1,593,820,677|1,591,681,892|Berubah
AVIA|Avia Avian Tbk.|16.71%|10,352,439,141|10,352,439,141|Tetap
BBCA|Bank Central Asia Tbk.|42.41%|19,673,460,025|19,553,503,092|Berubah
BBNI|Bank Negara Indonesia (Persero) Tbk.|39.95%|7,375,636,872|7,375,636,872|Tetap
BBRI|Bank Rakyat Indonesia (Persero) Tbk.|46.78%|38,909,732,049|34,901,951,756|Berubah
BBTN|Bank Tabungan Negara (Persero) Tbk.|40.00%|5,557,639,988|5,557,639,988|Tetap
BFIN|BFI Finance  Indonesia Tbk.|43.12%|6,085,067,763|6,885,020,255|Berubah
BMRI|Bank Mandiri (Persero) Tbk.|39.95%|17,082,321,387|16,270,082,773|Berubah
BMTR|Global Mediacom Tbk.|58.26%|-|9,661,836,994|Baru
BRIS|Bank Syariah Indonesia Tbk.|9.88%|3,215,017,817|4,511,986,311|Berubah
BRMS|Bumi Resources Minerals Tbk.|56.70%|80,391,550,872|80,391,550,872|Tetap
BRPT|Barito Pacific Tbk.|27.64%|26,192,972,721|25,911,731,067|Berubah
BSDE|Bumi Serpong Damai Tbk.|36.23%|7,670,385,834|7,670,385,834|Tetap
BUKA|Bukalapak.com Tbk.|50.41%|51,914,584,694|51,955,811,285|Berubah
CPIN|Charoen Pokphand Indonesia Tbk|40.12%|6,578,877,600|6,578,877,600|Tetap
CTRA|Ciputra Development Tbk.|46.28%|8,589,708,412|8,589,708,412|Tetap
DOID|Delta Dunia Makmur Tbk.|47.76%|4,158,853,967|4,117,472,336|Berubah
ELSA|Elnusa Tbk.|48.82%|-|3,563,127,700|Baru
EMTK|Elang Mahkota Teknologi Tbk.|25.07%|14,722,517,057|15,353,307,097|Berubah
ENRG|Energi Mega Persada Tbk.|46.41%|11,519,532,959|11,519,532,959|Tetap
ERAA|Erajaya Swasembada Tbk.|44.18%|7,059,470,000|7,046,710,000|Berubah
ESSA|Surya Esa Perkasa Tbk.|63.87%|10,002,608,527|10,002,608,527|Tetap
EXCL|XL Axiata Tbk.|33.15%|5,009,409,619|4,352,074,765|Berubah
GGRM|Gudang Garam Tbk.|16.49%|317,282,111|317,282,111|Tetap
GOTO|GoTo Gojek Tokopedia Tbk.|61.99%|786,299,212,796|734,187,199,898|Berubah
HEAL|Medikaloka Hermina Tbk.|49.20%|6,619,513,645|7,358,378,897|Berubah
HMSP|H.M. Sampoerna Tbk.|7.44%|8,654,064,921|8,654,064,921|Tetap
HRUM|Harum Energy Tbk.|18.60%|2,514,366,600|2,514,366,600|Tetap
ICBP|Indofood CBP Sukses Makmur Tbk.|20.00%|2,332,381,600|2,332,381,600|Tetap
INCO|Vale Indonesia Tbk.|20.36%|2,016,083,126|2,023,038,563|Berubah
INDF|Indofood Sukses Makmur Tbk.|49.57%|4,352,457,416|4,352,457,416|Tetap
INDY|Indika Energy Tbk.|33.73%|1,756,355,723|1,757,397,762|Berubah
INKP|Indah Kiat Pulp & Paper Tbk.|34.27%|1,874,905,854|1,874,905,854|Tetap
INTP|Indocement Tunggal Prakarsa Tbk.|41.97%|1,545,012,944|1,545,012,944|Tetap
ISAT|Indosat Tbk.|16.37%|1,319,864,439|1,319,864,439|Tetap
ITMG|Indo Tambangraya Megah Tbk.|34.74%|392,535,945|392,535,945|Tetap
JPFA|Japfa Comfeed Indonesia Tbk.|43.19%|5,064,707,829|5,064,707,829|Tetap
JSMR|Jasa Marga (Persero) Tbk.|29.98%|2,175,909,786|2,175,909,786|Tetap
KLBF|Kalbe Farma Tbk.|41.10%|19,246,925,138|19,265,675,187|Berubah
